id,repo,Title,Description,Assigned To
3494,inoScript,Sub Scanning Issues,,JRLSLLC
3495,inoScript,Would not receive box ID,,JRLSLLC
3496,inoScript,Wont receive box ID,,JRLSLLC
3497,inoScript,Inonet receive tab is not working correctly!,,JRLSLLC
3498,inoScript,Wouldnt receive box ID,,JRLSLLC
3499,inoScript,try to scan in box ID,,JRLSLLC
3500,inoScript,Get error when receiving box IDs,,JRLSLLC
3501,inoScript,Inonet is not working correctly,,JRLSLLC
3502,inoScript,Get error while receiving in product,,JRLSLLC
3503,inoScript,Get error every time I scan a box ID in InoNet,,JRLSLLC
3504,inoScript,46421 is requiring a price override signature when it shouldnt,,JRLSLLC
3505,inoScript,trying to merge box20200207-227 and 20200206-804 together,,JRLSLLC
3506,inoScript,Page crashes when the complete button is pressed,,JRLSLLC
3507,inoScript,Sub Error in Kit Audit,,JRLSLLC
3508,inoScript,error trying to download an attachment on the asset managemen database,,JRLSLLC
3509,inoScript,get the error below trying to receive in box ID,,JRLSLLC
3510,inoScript,box ID to automatically recieve in,,JRLSLLC
3511,inoScript,Cannot mark packing list as shipped,,JRLSLLC
3512,inoScript,Kits that have not been released are not showing on the queue,,JRLSLLC
3513,inoScript,Part Dash is not loading anything,,JRLSLLC
3514,inoScript,Supervisor doesnt appear,,JRLSLLC
3515,inoScript,FGI Location Swap,,JRLSLLC
3516,inoScript,FGI Put-Away (Co-habitation),,JRLSLLC
3517,inoScript,Training update for employees of the second shift,,JRLSLLC
3518,inoScript,"SO 45878 - Request Review Issues.  Please get with me if you have questions, it may be easier to get at a computer and watch this happen.",,JRLSLLC
3519,inoScript,not merging ids,,JRLSLLC
3520,inoScript,Some PMs & PJMs have rights to the EXP checkbox and CREATE WO button,,JRLSLLC
3521,inoScript,Unable to update address or save data,,JRLSLLC
3522,inoScript,Labor duty cycle is wack.,,JRLSLLC
3523,inoScript,"The first time we scan a board for the Biofire WO# 82410 Assembly# PCBA-SUB-0838 Inoquote wont automatically pull up the FA/Build Questions, so we must manually select FA/Build Questions so we can upload the test results to Inoquote.  After we upload it",,JRLSLLC
3524,inoScript,"WO Dash/PST Build Quantity 9 - Manex RMA Qty only 8, shipped 8, WO needs to be Correced/Closed",,JRLSLLC
3525,inoScript,merging boxes,,JRLSLLC
3526,inoScript,Cannot link images to PDN,,JRLSLLC
3527,inoScript,"We have a couple Insitu units that when we try to scan them into a Box ID we get an error Quid , can you please look into this for me. [)>12MFR 02FP7PNO 530-000424-003SEQ 3P0G4-00001 [)>12MFR 02FP7PNO 530-000424-001SEQ 3P0G4-20053",,JRLSLLC
3528,inoScript,WOs are not releasing to production,,JRLSLLC
3529,inoScript,Bug Fix.  We are getting the attached error when we click Save and Complete (on time) RIR records.,,JRLSLLC
3530,inoScript,CI Level 1 Submissions has become inaccessible to many people.,,JRLSLLC
3531,inoScript,Sales order entry problems,,JRLSLLC
3532,inoScript,"PST Showing Balance of 3, when balance is actually zero",,JRLSLLC
3533,inoScript,Passing Error Biofire 0838,,JRLSLLC
3534,inoScript,Sales order - Create a Line giving an error message,,JRLSLLC
3535,inoScript,Cannot Transfer,,JRLSLLC
3536,inoScript,Problems requesting changes on COM,,JRLSLLC
3537,inoScript,Trying to merge boxes,,JRLSLLC
3538,inoScript,Cant select a qty on unserialized box id,,JRLSLLC
3539,inoScript,"83997 was re-signed in run ready after it was released from kitting, and was put back in the kitting queue",,JRLSLLC
3540,inoScript,"82732 in PST shows the incorrect balance, and there are negative balances showing up in PST",,JRLSLLC
3541,inoScript,The serial detail current work center is wrong,,JRLSLLC
3542,inoScript,Work Order Missing from PST,,JRLSLLC
3543,inoScript,A part is showing in the kit audit that has been adjusted to 0,,JRLSLLC
3544,inoScript,kit audit does not show all the WIP locations on the shopping list,,JRLSLLC
3545,inoScript,Error not loading personal supervisor,,JRLSLLC
3546,inoScript,sub part not adding to kit when scanned in,,JRLSLLC
3547,inoScript,FGI Put-Away (Known Issue),,JRLSLLC
3548,inoScript,Box IDs not going in to kit audit,,JRLSLLC
3549,inoScript,Were having an issue when uploading the PTO and Floating Holiday files to Inonet that it is not updating employees who have a leading zero(s) on their ID number.,,JRLSLLC
3550,inoScript,"PST showing extremely old work orders, long load time",,JRLSLLC
3551,inoScript,Boards not scanning through,,JRLSLLC
3552,inoScript,Units deleting after depanel and cannot ship,,JRLSLLC
3553,inoScript,Something strange is happening with return parts from countback.,,JRLSLLC
3554,inoScript,Cant find packing lists in the signed/delivered reports page,,JRLSLLC
3555,inoScript,COM Change # 20200109-778,,JRLSLLC
3556,inoScript,shopfloor tracking wont let me scan out,,JRLSLLC
3557,inoScript,Defect not being logged,,JRLSLLC
3558,inoScript,Adding subs to a kit is giving a lot of errors and taking a lot of time...,,JRLSLLC
3559,inoScript,Time Tracking Not Allowing Seconds to be Edited causing error,,JRLSLLC
3560,inoScript,Some links to docs are broken,,JRLSLLC
3561,inoScript,Trying to pull up Ray Brown in the new org chart,,JRLSLLC
3562,inoScript,"The boards scanned out at SS show that they scan into the next step, however, by clicking on the red counter you can see that the board in fact did not scan into the next step. Also been having the boards scan into the next step and then scanning themselv",,JRLSLLC
3563,inoScript,PST balance for WO 85285 is different that what is shown in WoDash,,JRLSLLC
3564,inoScript,Build Book Error for Component & Consumables CofC,,JRLSLLC
3565,inoScript,Help Desk wont load,,JRLSLLC
3566,inoScript,More options for GL Codes,,JRLSLLC
3567,inoScript,Receiving in the Shipping page did not work.,,JRLSLLC
3568,inoScript,Got error message when receiving in product to FGI,,JRLSLLC
3569,inoScript,Sort not functioning,,JRLSLLC
3570,inoScript,BoM Shortage will not open,,JRLSLLC
3571,inoScript,"81273 shows the wrong balance, shipped qty is incorrect",,JRLSLLC
3572,inoScript,Cycle Count Page (In Transit MX),,JRLSLLC
3573,inoScript,L-3 Narda 2000442915 Rev C,,JRLSLLC
3574,inoScript,Labor tracking keeps loggin me out when I leave the bldg,,JRLSLLC
3575,inoScript,Shipping History isnt showing,,JRLSLLC
3576,inoScript,Logan Documents,,JRLSLLC
3577,inoScript,Work order balance in PST is not including kitted quantity.,,JRLSLLC
3578,inoScript,Several tardies or absences that shouldnt be,,JRLSLLC
3579,inoScript,holds not showing,,JRLSLLC
3580,inoScript,Engineering Signatures on a work order already in the kitting queue changes the sequence of the kitting queue,,JRLSLLC
3581,inoScript,COM 20200116-437 Wont Release,,JRLSLLC
3582,inoScript,Search fields in the Hours tab of CT Reports do not line up with their columns,,JRLSLLC
3583,inoScript,PST export is showing incorrect target completion date,,JRLSLLC
3584,inoScript,After the new Inonet update we are getting the attached error for RIR# 132296.,,JRLSLLC
3585,inoScript,my signature is not clearing the COM,,JRLSLLC
3586,inoScript,Cannot Create an Addendum,,JRLSLLC
3587,inoScript,date doesnt save on Prototype checklists under special functions tab,,JRLSLLC
3588,inoScript,Unable to Dock received part when second peer review is required,,JRLSLLC
3589,inoScript,i cant generate shipping label,,JRLSLLC
3590,inoScript,Box IDs not going into addendum,,JRLSLLC
3591,inoScript,Work orders that I have created today are creating with a CLOSED status,,JRLSLLC
3592,inoScript,Parts stored in Logan locations are showing Tecate as the location.,,JRLSLLC
3593,inoScript,"Trying to import bom/release for signatures COM request# 20200113-486, but we get this error message and no import:  Server Error in /inoquote Application. Could not export BOM, see Subs.updateBomInoquote for more debug info. Description: An unhandled e",,JRLSLLC
3594,inoScript,Cannot select a Work Order for unserialized shipping label.  Moog Comp 49033.  Screenshots of Routing settings per WO in Assembly Dashboard and of the error in shipping page.,,JRLSLLC
3595,inoScript,Cannot print addendum get an error,,JRLSLLC
3596,inoScript,Labor Track note carries over to other items/tasks when it shouldnt.,,JRLSLLC
3597,inoScript,Problems changing the PMs,,JRLSLLC
3598,inoScript,#NAME?,,JRLSLLC
3599,inoScript,Error comes up when I try to receive into FGI,,JRLSLLC
3600,inoScript,on load truck tab in delivery scheduel put in packing list number and added to wrong delivery,,JRLSLLC
3601,inoScript,We cannot do our job! we cannot ship,,JRLSLLC
3602,inoScript,The unserialized BoxID module allows adding more units to a BoxID than the build quantity of the particular work order.,,JRLSLLC
3603,inoScript,Open work order data does not seem to be changing when work orders are closed,,JRLSLLC
3604,inoScript,"Loading PL on Load Truck, it brings in wrong customer",,JRLSLLC
3605,inoScript,Cant shorten Labor Tracking activity,,JRLSLLC
3606,inoScript,Cannot remove Test Document from COM,,JRLSLLC
3607,inoScript,Time Track Default to Customer Issue,,JRLSLLC
3608,inoScript,prompted to scan when already scanned in,,JRLSLLC
3609,inoScript,Unable to change Location,,JRLSLLC
3610,inoScript,Trying to process COM Request for LF-970-COM-SEED EAJ DEX REV A,,JRLSLLC
3611,inoScript,"issued more than needed, shopping cart still says Im short",,JRLSLLC
3612,inoScript,Im getting an error while trying to save the notes,,JRLSLLC
3613,inoScript,Guid didnt have a mpn on it,,JRLSLLC
3614,inoScript,I am unable to add a line to SO 44043,,JRLSLLC
3615,inoScript,Labor Tracking will not let us manually insert date/times,,JRLSLLC
3616,inoScript,New labor tracking drop down edit not working,,JRLSLLC
3617,inoScript,Labor Tracking on Quote Module,,JRLSLLC
3618,inoScript,"kit audit says part is not approved for kit, but its on the BoM",,JRLSLLC
3619,inoScript,General task keeps the previous tasks customer,,JRLSLLC
3620,inoScript,The BoM Shortage report does not open,,JRLSLLC
3621,inoScript,The Work Instruction .tds file that is Zipped can not be opened in Assembly Dashboard.,,JRLSLLC
3622,inoScript,Automated COM has been opened with API Systems as the originator,,JRLSLLC
3623,inoScript,The Final Summary Quote page is broken.,,JRLSLLC
3624,inoScript,Form not downloading,,JRLSLLC
3625,inoScript,cant transfer a mx label to a non mx label,,JRLSLLC
3626,inoScript,Paste disposal not going into paste bin.,,JRLSLLC
3627,inoScript,1. boards skipping depanel and going straight to FGI. 2.boards transferring out of depanel into fgi without being physically scanned out.,,JRLSLLC
3628,inoScript,CapDash is showing a carryover amount when there should not be one.,,JRLSLLC
3629,inoScript,C6213433-2 Rev A FOUO Issue,,JRLSLLC
3630,inoScript,Cannot serialize the work order.,,JRLSLLC
3631,inoScript,"unable to scan product, shows on hold, no hold though",,JRLSLLC
3632,inoScript,"Hello good afternoon!  The non-conforming product disposition  scrap training has an error when loading at the time of opening, it just appear the add Complete but any information appear and the button Complete & Sign off is available.  Thank you.",,JRLSLLC
3633,inoScript,I am getting an error while trying to print this report,,JRLSLLC
3634,inoScript,"SoDash - I am getting An error occurred while saving the item. when saving a line, but I dont know where the error is and everything seems to be saving OK.",,JRLSLLC
3635,inoScript,SoDash is allowing a system-calculated blacked-out date in the ship date field.,,JRLSLLC
3636,inoScript,SoDash should not ask to change a work order due date if an invalid date is entered.,,JRLSLLC
3637,inoScript,When I sign off on the PTPO it is not longer signing and I get the message  Signature cleared see attached.,,JRLSLLC
3638,inoScript,PO Clauses do not import into INONET,,JRLSLLC
3639,inoScript,Receiving cant change msl label in part dashboard,,JRLSLLC
3640,inoScript,"When engineering re-signs run ready, released work orders are being put back into the kitting queue.",,JRLSLLC
3641,inoScript,"HELLO, CAN YOU HELP ME? I HAVE A PROBLEM, WITH THE TRAINING PORTAL,WHEN EXPORTING THE INFORMATION TO EXCEL, ONLY EMPLOYEES OF LOGAN APPEAR BUT NOT OF TECATE. THANK YOU",,JRLSLLC
3642,inoScript,"While on Performance to Quote , and I call up an assembly, I get  red block message stating  Value was either too large or too small for a Decimal  . I then spins out and I have to close out of the session and go back in.  Raytheon  D1181860-1[-] Others",,JRLSLLC
3643,inoScript,When you do a MX Part Transfer the quantities on the labels are changing,,JRLSLLC
3644,inoScript,Error msg; box-ID w/my login name not available???,,JRLSLLC
3645,inoScript,Receiving Page Using Label QTY Instead of Current QTY When Receiving,,JRLSLLC
3646,inoScript,Part Transferred From Putaway to In-Transit But Did Not Clear Off Cart,,JRLSLLC
3647,inoScript,When I try to open the test records an error message come up saying it could not be found.,,JRLSLLC
3648,inoScript,"When attempting to accept an individuals punches, it throws the error  Cannot convert null to a value type.  This makes it impossible to move forward.  Please resolve so we can submit punches to HR for payroll.  Thanks",,JRLSLLC
3649,inoScript,C6213451-2 Rev A Not Avaialble for Change Request,,JRLSLLC
3650,inoScript,floating holiday not available as an option,,JRLSLLC
3651,inoScript,"Hello IT,  There maybe a problem with SFT or Serial Detail.  I failed UUT 8359600039, an L3 unit for failing a BB Functional test.  I failed it back to BB Assembly because my coworker, Chris Wilde in box build was able to identify the wrong part was in th",,JRLSLLC
3652,inoScript,It looks like that PO dash is pulling all MPNs for both non us and us part numbers.,,JRLSLLC
3653,inoScript,Need fix on dates,,JRLSLLC
3654,inoScript,Cant edit labor tracking,,JRLSLLC
3655,inoScript,"CapDash thinks the current week is 1A 2019, all weeks in 2019 are now unlocked.  I do not think the recalculation function is working correctly because of this.",,JRLSLLC
3656,inoScript,Open work order data not updating?,,JRLSLLC
3657,inoScript,Links broken,,JRLSLLC
3658,inoScript,Cant find the PO 135621.,,JRLSLLC
3659,inoScript,FTQ isnt displaying what was found,,JRLSLLC
3660,inoScript,Jobs show on hold even though they arent,,JRLSLLC
3661,inoScript,Excel option in PST detail unresponsive,,JRLSLLC
3662,inoScript,"Because of an Inonet update we are unable to properly ship anything in Inonet (Shipping - Packing List).  When we put in a new Packing List in Inonet, no sales orders come up to select like they are supposed to and also the update does not allow us to edi",,JRLSLLC
3663,inoScript,The NCR report will no generate,,JRLSLLC
3664,inoScript,C6213451-2 Rev A BOM Change COM,,JRLSLLC
3665,inoScript,"When serializing WO# 83814 (Moog 57578-101 Rev. A QTY: 11920. 745 - 16-up arrays), there were duplicate numbers throughout the work order (though not for every serial number). Since these panels are already associated, it put one copy of each number on a",,JRLSLLC
3666,inoScript,"I ran MRP this morning, and I do not see demand from SO 46163 showing",,JRLSLLC
3667,inoScript,"unable to scan, WO not found...",,JRLSLLC
3668,inoScript,SoDash - Linked work orders are not showing in the schedule lines,,JRLSLLC
3669,inoScript,Work orders are showing the incorrect location,,JRLSLLC
3670,inoScript,"I am trying to do a CI project, says I dont have sufficient access",,JRLSLLC
3671,inoScript,Work orders are saying that they have been kitted,,JRLSLLC
3672,inoScript,unable to access CI,,JRLSLLC
3673,inoScript,"The assets tab doesnt shows the assets list. The personel with this rights cant create, edit or see any asset in system.",,JRLSLLC
3674,inoScript,Chemical Paste Return,,JRLSLLC
3675,inoScript,"The personel with the rights to access this tab cannot see anything. Maybe problems with software, code or updates.",,JRLSLLC
3676,inoScript,cant runn WIP report off of test gauge,,JRLSLLC
3677,inoScript,Cant doc receive Multiple parts at once,,JRLSLLC
3678,inoScript,"Transfer QTY Becoming Original Label QTY, Not Current QTY",,JRLSLLC
3679,inoScript,tried to scan a board out of shipping,,JRLSLLC
3680,inoScript,SO 46106 - Create WO button is missing from the schedule lines.,,JRLSLLC
3681,inoScript,"Changing a scheduled line number creates an entire new schedule line, instead of just changing the scheduled line number",,JRLSLLC
3682,inoScript,"Whenever we try to scan boards through a BB Final Assembly work center, the first scan gives us an error (see attachment), but the second scan goes through just fine.",,JRLSLLC
3683,inoScript,84728 will not go in the kitting queue,,JRLSLLC
3684,inoScript,Auto-update of work order due date happening on anytime the cursor is in the ship date field.,,JRLSLLC
3685,inoScript,MPN not showing up after its been dock received,,JRLSLLC
3686,inoScript,84421 not releasing to the kitting queue,,JRLSLLC
3687,inoScript,"work order shows 4k shipped, but there is no record of this, we need to ship 200 of these today asap",,JRLSLLC
3688,inoScript,"Kit audit says I have shortages, manex says i don not have shortages",,JRLSLLC
3689,inoScript,"MX221-0061124  is line 6 on the Manex PO 122661.  Not showing up on Inonet PO 122661, Ive tried to add to MX221-0061124 to   Inonet order but the system wont let me.  Error cant add MX#   I attached original Manex order.  We are trying to receive in",,JRLSLLC
3690,inoScript,Inonet PO Dash wont allow me to add part# to a PO/,,JRLSLLC
3691,inoScript,I cant sign PDNs,,JRLSLLC
3692,inoScript,RMA report,,JRLSLLC
3693,inoScript,Error pops up when creating Quality Alert,,JRLSLLC
3694,inoScript,WO will not go to kitting (84337),,JRLSLLC
3695,inoScript,The Offline option of the Prioritization Page of Capacity Planning errors out,,JRLSLLC
3696,inoScript,I can not log into labor tracking through the dropdown,,JRLSLLC
3697,inoScript,Error Creating a SO Line,,JRLSLLC
3698,inoScript,Labor Tracking Broken,,JRLSLLC
3699,inoScript,Labor Tracking Broken,,JRLSLLC
3700,inoScript,nothing showing on kitting queue,,JRLSLLC
3701,inoScript,Never recieving updates on bug report submittals.,,JRLSLLC
3702,inoScript,Labor Tracking Broken,,JRLSLLC
3703,inoScript,"When trying to labor track under Expedite, a message in red text pops up saying Object reference not set to an instance of an object. This seems to have started after the last Inonet update.",,JRLSLLC
3704,inoScript,cant set labor tracking,,JRLSLLC
3705,inoScript,Kitting Queue is Not Opening,,JRLSLLC
3706,inoScript,"83818 wont release to the kitting queue. all signatures are entered, and site and build team selected",,JRLSLLC
3707,inoScript,Build Record not showing up under Serial Association,,JRLSLLC
3708,inoScript,quid shows in kit audit  and in on hand,,JRLSLLC
3709,inoScript,drill down doesnt work,,JRLSLLC
3710,inoScript,"Teresa Hall, Carla Nava and Kelly Bair are unable to scan L-3 product out of Inspection work centersrs",,JRLSLLC
3711,inoScript,Need Edit permissions,,JRLSLLC
3712,inoScript,Box build work orders are showing work in Hand Solder,,JRLSLLC
3713,inoScript,CT Report Data is not loading,,JRLSLLC
3714,inoScript,Holiday Pay,,JRLSLLC
3715,inoScript,Pre-release doesnt seem to be working,,JRLSLLC
3716,inoScript,For Assembly L3 COMMUNICATIONS 60065312+000 REV A all of the links to documents are broken.,,JRLSLLC
3717,inoScript,I signed off a PC in COM and it says successful but doesnt really sign off,,JRLSLLC
3718,inoScript,"I cant pull up SPEA, L3 Box Build, or Box Build in the WCP page.  It starts loading but never finishes.  SMT and Test work fine.  Not sure what other work centers do or dont load.",,JRLSLLC
3719,inoScript,"Anyone who arrived on time today is not showing on site in Labor Duty metric.  Only 1 of my team shows on site because she arrived late.  This happened on Thursday, too.",,JRLSLLC
3720,inoScript,I cant issue a Quality Alert,,JRLSLLC
3721,inoScript,First Arcticle will not allow signatures,,JRLSLLC
3722,inoScript,Add to Labor Tracking?,,JRLSLLC
3723,inoScript,I am getting a divide by zero error when I try to open the priority page for the offline queue.,,JRLSLLC
3724,inoScript,Work orders are duplicating in the priority page of capacity planning,,JRLSLLC
3725,inoScript,no labor duty showing/not in building,,JRLSLLC
3726,inoScript,I cannot open work orders through WoDash,,JRLSLLC
3727,inoScript,Page will not fully load.  Stalls out during load of page data.,,JRLSLLC
3728,inoScript,SoDash - the Line duplication tool is not working,,JRLSLLC
3729,inoScript,"Hi Tom and Branden - - today I had a meeting.  I could not edit or add comments using the meetings in the standard Inonet.  I used branden.theino.net and I could edit the actions and add comments, but I could not add a new action.  I could add the action",,JRLSLLC
3730,inoScript,Build Team is not updating to current part number,,JRLSLLC
3731,inoScript,Hi - I started a meeting named Inventory Meeting.  I have entered a bunch of actions.  I am unable to edit these actions.  I have tried clicking on the action and nothing happens.  It is broken or do I not know how to edit?,,JRLSLLC
3732,inoScript,Spinning wheel of death for multiple users/computers for sn# 0000500001,,JRLSLLC
3733,inoScript,Spinning wheel of death for multiple users/computers for SN# 0000500001,,JRLSLLC
3734,inoScript,Labor Duty Cycle Not Working Properly,,JRLSLLC
3735,inoScript,Product/quality engineering dual signatures are not working.,,JRLSLLC
3736,inoScript,IDT Transfers Showing On Manex Trans,,JRLSLLC
3737,inoScript,Chemical Locations Wrong for Aisle 13,,JRLSLLC
3738,inoScript,Cannot open and edit actions,,JRLSLLC
3739,inoScript,Not pulling ATS from customer portal and inserting into the stack,,JRLSLLC
3740,inoScript,Cant submit new POs,,JRLSLLC
3741,inoScript,Im getting emails for 6s action items and cant close them,,JRLSLLC
3742,inoScript,Board stuck in FGI,,JRLSLLC
3743,inoScript,I cant sign PDNs,,JRLSLLC
3744,inoScript,SoDash - SO 44043 is not pulling the quote for PN 710-000153-000 rev 2,,JRLSLLC
3745,inoScript,Cannot close a help desk ticket or submit a new one.,,JRLSLLC
3746,inoScript,MRPDash wrong quantity of SO 44956 being used in calculation for PN 1000441602,,JRLSLLC
3747,inoScript,Cannot open attachments in Meetings,,JRLSLLC
3748,inoScript,OPEN ORDER QUICK REPORT,,JRLSLLC
3749,inoScript,Darrin Saunders forever clocked in,,JRLSLLC
3750,inoScript,Production is not showing up as option from the build team drop down menu.,,JRLSLLC
3751,inoScript,PartDash - part #24258 the same record is displayed whether I click on rev 00 or rev 01,,JRLSLLC
3752,inoScript,"Error msg says: BoxID; wpattison keeps popping up, see screen shot. Thanx!",,JRLSLLC
3753,inoScript,Cant click for a bit,,JRLSLLC
3754,inoScript,Im getting a dirty compare on kit audit because inonet added parts back into kit.,,JRLSLLC
3755,inoScript,No Pay code for FMLA,,JRLSLLC
3756,inoScript,the update quote button does not update the quote linked,,JRLSLLC
3757,inoScript,The build book will not populate the box IDs,,JRLSLLC
3758,inoScript,can not edit a doc on ecabinet,,JRLSLLC
3759,inoScript,Uploading Build Record fails,,JRLSLLC
3760,inoScript,MRPDash - Every part says No Data Available in Table,,JRLSLLC
3761,inoScript,A script error keeps popping up,,JRLSLLC
3762,inoScript,DUT serial number on test paperwork occasionally incorrect,,JRLSLLC
3763,inoScript,Wont allow permissions to load,,JRLSLLC
3764,inoScript,Cannot Upload PDF to Build Book,,JRLSLLC
3765,inoScript,Shop Floor Tracking error,,JRLSLLC
3766,inoScript,83835 is not showing any hours of work at SMT,,JRLSLLC
3767,inoScript,SO 44733 should be status CLOSED,,JRLSLLC
3768,inoScript,Refresh button Grabs last PO information during Dock Receive.,,JRLSLLC
3769,inoScript,Cannot submit request to remove document,,JRLSLLC
3770,inoScript,PDF Download Button on Build Book Doesnt Work,,JRLSLLC
3771,inoScript,Xing out parts on pink sheet,,JRLSLLC
3772,inoScript,Balance on 82352 appears to be incorrect,,JRLSLLC
3773,inoScript,Not pulling all test data for top level (L-3 Stack),,JRLSLLC
3774,inoScript,The red X on the part shortage log is gone,,JRLSLLC
3775,inoScript,WO Balance is not accurate,,JRLSLLC
3776,inoScript,MRB PAGE Wont Load,,JRLSLLC
3777,inoScript,Kit Audit (Scanning Parts) Bug,,JRLSLLC
3778,inoScript,Part Dashboard Page not working again..,,JRLSLLC
3779,inoScript,Big Green Button Doesnt Work Properly in Build Book,,JRLSLLC
3780,inoScript,Kit Audit (Sub Assembly),,JRLSLLC
3781,inoScript,Run Ready,,JRLSLLC
3782,inoScript,Auto Lunch only deducting on unscheduled days,,JRLSLLC
3783,inoScript,Auto calculation of SO does not happen on initial entry of dates,,JRLSLLC
3784,inoScript,Spinning wheel of death,,JRLSLLC
3785,inoScript,MRB is not working,,JRLSLLC
3786,inoScript,I am having a hard time labor tracking since the update. Whether i scan a board in the serial number slot or not it wont allow me to labor track it just throws an error. The images depict with or without a serial scan. Right now I am just scanned into som,,JRLSLLC
3787,inoScript,Cant scan part in to kit aduit,,JRLSLLC
3788,inoScript,Need to add serial numbers to WO 83115,,JRLSLLC
3789,inoScript,Non-Conform Report Bug,,JRLSLLC
3790,inoScript,SoDash - Order Date shows the incorrect date,,JRLSLLC
3791,inoScript,not seeing all customers mrb,,JRLSLLC
3792,inoScript,WOs are duplicating in Capacity Planning,,JRLSLLC
3793,inoScript,ESD log does not show Tecate employees,,JRLSLLC
3794,inoScript,Redundant build book paperwork,,JRLSLLC
3795,inoScript,WO 84449 needs to be a quantity of 120.  WoDash will not let me enter a number larger than 25.,,JRLSLLC
3796,inoScript,Wont let me set up an every other Friday schedule,,JRLSLLC
3797,inoScript,Cycle count running slow on all of the Mesas,,JRLSLLC
3798,inoScript,no one can print kit labels,,JRLSLLC
3799,inoScript,Subs Not Putting Away Into Location With Same Part,,JRLSLLC
3800,inoScript,84079 is showing in the kitting queue twice.,,JRLSLLC
3801,inoScript,Purchase contract request being sent to Doc Control,,JRLSLLC
3802,inoScript,getting an error when I try to print this quote,,JRLSLLC
3803,inoScript,Time of door scans is an hour off.,,JRLSLLC
3804,inoScript,Cant change password,,JRLSLLC
3805,inoScript,Pink Sheets,,JRLSLLC
3806,inoScript,Difference between quoted labor and average labor is not correct,,JRLSLLC
3807,inoScript,Manex/ Inonet Compare is not showing quantities of packages in put-away,,JRLSLLC
3808,inoScript,Manex/Inonet Compare Quantity Issue,,JRLSLLC
3809,inoScript,Cycle Count Page Duplicate Counts,,JRLSLLC
3810,inoScript,When I go to request PTO only Bereave shows on the options,,JRLSLLC
3811,inoScript,All expenditures and PRs coming out of Tecate go through Aaron Geary.  Routing needs to be Ivan Pacheco then Jeff Lowe.,,JRLSLLC
3812,inoScript,Manex glitch strikes again.,,JRLSLLC
3813,inoScript,Wrong Customer List on MRB,,JRLSLLC
3814,inoScript,Cycle Count Page shrinks,,JRLSLLC
3815,inoScript,Update last ran at 11/4/2019 7:55:02 AM,,JRLSLLC
3816,inoScript,Getting an Column pflid does not belong to table . error when creating a work order,,JRLSLLC
3817,inoScript,"training WO not working, no WI, BOM, etc",,JRLSLLC
3818,inoScript,I cannot print kit  labels from kit audit,,JRLSLLC
3819,inoScript,Error message shows when trying to scan a serial number in shopfloor tracking.,,JRLSLLC
3820,inoScript,Error continues to pop up when something is typed.,,JRLSLLC
3821,inoScript,cannot get into kit audit,,JRLSLLC
3822,inoScript,UNABLE TO ACCESS KIT AUDIT,,JRLSLLC
3823,inoScript,problems while adding boards to boxes,,JRLSLLC
3824,inoScript,Computed description not working,,JRLSLLC
3825,inoScript,error mesage when selecting quote,,JRLSLLC
3826,inoScript,Report is taking too long,,JRLSLLC
3827,inoScript,Trying to scan into Inoquote,,JRLSLLC
3828,inoScript,Could not add a note to an IPN.,,JRLSLLC
3829,inoScript,Forever locking incomplete punches,,JRLSLLC
3830,inoScript,cant print kit labels,,JRLSLLC
3831,inoScript,Kit Audit labels wont print,,JRLSLLC
3832,inoScript,risk colors arent saving,,JRLSLLC
3833,inoScript,Cant select MRP date,,JRLSLLC
3834,inoScript,PINK SHEETS,,JRLSLLC
3835,inoScript,Raw Yield Report limited results,,JRLSLLC
3836,inoScript,Put-Away in Inventory,,JRLSLLC
3837,inoScript,MRB not scrapping boards,,JRLSLLC
3838,inoScript,Guid scrapped itself out in countback without transaction.,,JRLSLLC
3839,inoScript,Countback seems to be double tabbing,,JRLSLLC
3840,inoScript,Chemical Shortages,,JRLSLLC
3841,inoScript,Shrinking Page,,JRLSLLC
3842,inoScript,BioFire PCBA-SUB-1204 [05] Work orders are not showing in exceptions in capdash,,JRLSLLC
3843,inoScript,83755 has a negative balance in WoDash,,JRLSLLC
3844,inoScript,No employees show up on time and attendance,,JRLSLLC
3845,inoScript,PTO Requests,,JRLSLLC
3846,inoScript,Employee List not populating,,JRLSLLC
3847,inoScript,Auto deduct lunches check box,,JRLSLLC
3848,inoScript,Lunch is being debited on days not being worked.,,JRLSLLC
3849,inoScript,Lunches are automatically debiting,,JRLSLLC
3850,inoScript,unable to move material date to December,,JRLSLLC
3851,inoScript,Ive noticed that when i scan boards on Inonet that it will track only what i manually labor track instead of what i have scanned. Usually when i come in i labor track that i am in a meeting due to the fact that i am a lead and am meeting with people for,,JRLSLLC
3852,inoScript,Just In Time Message for LT241-0059257 not working again.,,JRLSLLC
3853,inoScript,for cycle have two different parts showing for the same location,,JRLSLLC
3854,inoScript,10/1-10/15 on time card calculations include 10/16,,JRLSLLC
3855,inoScript,Not including 14th or 15th in 10/01-10/15 export,,JRLSLLC
3856,inoScript,Auto Lunch,,JRLSLLC
3857,inoScript,Login from home setup did not work.,,JRLSLLC
3858,inoScript,Duo is not working. Can not log in,,JRLSLLC
3859,inoScript,MRB - Cant approve dispostitions,,JRLSLLC
3860,inoScript,COM did not update the revision of selected work orders,,JRLSLLC
3861,inoScript,NRE charges arent going away after Engineering removes them,,JRLSLLC
